event_id;day;event;who;from;to;success
1;1;visit;a0;1;6;1
2;1;visit;a1;2;2;1
3;1;visit;a2;3;3;1
4;1;visit;a3;4;3;1
5;1;visit;a4;5;6;1
6;1;visit;a5;6;1;1
7;2;visit;a0;6;6;1
8;2;visit;a1;2;3;1
9;2;visit;a2;3;3;1
10;2;visit;a3;3;2;1
11;2;visit;a4;6;1;1
12;2;visit;a5;1;1;1
13;3;visit;a0;6;5;1
14;3;visit;a1;3;4;1
15;3;visit;a2;3;3;1
16;3;visit;a3;2;3;1
17;3;visit;a4;1;6;1
18;3;visit;a5;1;2;1
19;4;visit;a0;5;6;1
20;4;visit;a1;4;5;1
21;4;visit;a2;3;2;1
22;4;visit;a3;3;2;1
23;4;visit;a4;6;5;1
24;4;visit;a5;2;3;1
25;5;visit;a0;6;1;1
26;5;visit;a1;5;4;1
27;5;visit;a2;2;2;1
28;5;visit;a3;2;2;1
29;5;visit;a4;5;4;1
30;5;visit;a5;3;2;1
31;6;visit;a0;1;1;1
32;6;visit;a1;4;4;1
33;6;visit;a2;2;3;1
34;6;visit;a3;2;3;1
35;6;visit;a4;4;3;1
36;6;visit;a5;2;1;1
37;7;visit;a0;1;2;1
38;7;visit;a1;4;4;1
39;7;visit;a2;3;4;1
40;7;visit;a3;3;4;1
41;7;visit;a4;3;4;1
42;7;visit;a5;1;6;1
43;8;visit;a0;2;3;1
44;8;visit;a1;4;4;1
45;8;visit;a2;4;5;1
46;8;visit;a3;4;5;1
47;8;visit;a4;4;3;1
48;8;visit;a5;6;1;1
49;9;visit;a0;3;3;1
50;9;visit;a1;4;4;1
51;9;visit;a2;5;5;1
52;9;visit;a3;5;6;1
53;9;visit;a4;3;4;1
54;9;visit;a5;1;2;1
55;10;visit;a0;3;4;1
56;10;visit;a1;4;3;1
57;10;visit;a2;5;6;1
58;10;visit;a3;6;1;1
59;10;visit;a4;4;5;1
60;10;visit;a5;2;3;1
61;11;visit;a0;4;5;1
62;11;visit;a1;3;4;1
63;11;visit;a2;6;5;1
64;11;visit;a3;1;6;1
65;11;visit;a4;5;4;1
66;11;visit;a5;3;4;1
67;12;visit;a0;5;4;1
68;12;visit;a1;4;3;1
69;12;visit;a2;5;5;1
70;12;visit;a3;6;5;1
71;12;visit;a4;4;3;1
72;12;visit;a5;4;5;1
73;13;visit;a0;4;3;1
74;13;visit;a1;3;4;1
75;13;visit;a2;5;4;1
76;13;visit;a3;5;6;1
77;13;visit;a4;3;4;1
78;13;visit;a5;5;4;1
79;14;visit;a0;3;3;1
80;14;visit;a1;4;5;1
81;14;visit;a2;4;3;1
82;14;visit;a3;6;6;1
83;14;visit;a4;4;4;1
84;14;visit;a5;4;5;1
85;15;visit;a0;3;2;1
86;15;visit;a1;5;6;1
87;15;visit;a2;3;2;1
88;15;visit;a3;6;5;1
89;15;visit;a4;4;4;1
90;15;visit;a5;5;5;1
91;16;visit;a0;2;2;1
92;16;visit;a1;6;1;1
93;16;visit;a2;2;1;1
94;16;visit;a3;5;4;1
95;16;visit;a4;4;4;1
96;16;visit;a5;5;4;1
97;17;visit;a0;2;3;1
98;17;visit;a1;1;2;1
99;17;visit;a2;1;6;1
100;17;visit;a3;4;4;1
101;17;visit;a4;4;5;1
102;17;visit;a5;4;3;1
103;18;visit;a0;3;2;1
104;18;visit;a1;2;3;1
105;18;visit;a2;6;5;1
106;18;visit;a3;4;4;1
107;18;visit;a4;5;5;1
108;18;visit;a5;3;2;1
109;19;visit;a0;2;3;1
110;19;visit;a1;3;2;1
111;19;visit;a2;5;5;1
112;19;visit;a3;4;4;1
113;19;visit;a4;5;5;1
114;19;visit;a5;2;3;1
115;20;visit;a0;3;2;1
116;20;visit;a1;2;2;1
117;20;visit;a2;5;4;1
118;20;visit;a3;4;3;1
119;20;visit;a4;5;5;1
120;20;visit;a5;3;2;1
121;21;visit;a0;2;2;1
122;21;visit;a1;2;3;1
123;21;visit;a2;4;4;1
124;21;visit;a3;3;3;1
125;21;visit;a4;5;4;1
126;21;visit;a5;2;3;1
127;22;visit;a0;2;2;1
128;22;visit;a1;3;4;1
129;22;visit;a2;4;5;1
130;22;visit;a3;3;2;1
131;22;visit;a4;4;3;1
132;22;visit;a5;3;2;1
133;23;visit;a0;2;2;1
134;23;visit;a1;4;3;1
135;23;visit;a2;5;5;1
136;23;visit;a3;2;1;1
137;23;visit;a4;3;2;1
138;23;visit;a5;2;2;1
139;24;visit;a0;2;1;1
140;24;visit;a1;3;3;1
141;24;visit;a2;5;4;1
142;24;visit;a3;1;1;1
143;24;visit;a4;2;3;1
144;24;visit;a5;2;2;1
145;25;visit;a0;1;6;1
146;25;visit;a1;3;4;1
147;25;visit;a2;4;3;1
148;25;visit;a3;1;6;1
149;25;visit;a4;3;3;1
150;25;visit;a5;2;1;1
151;26;visit;a0;6;6;1
152;26;visit;a1;4;4;1
153;26;visit;a2;3;3;1
154;26;visit;a3;6;5;1
155;26;visit;a4;3;2;1
156;26;visit;a5;1;2;1
157;27;visit;a0;6;6;1
158;27;visit;a1;4;5;1
159;27;visit;a2;3;2;1
160;27;visit;a3;5;6;1
161;27;visit;a4;2;1;1
162;27;visit;a5;2;1;1
163;28;visit;a0;6;1;1
164;28;visit;a1;5;6;1
165;28;visit;a2;2;2;1
166;28;visit;a3;6;1;1
167;28;visit;a4;1;6;1
168;28;visit;a5;1;6;1
169;29;visit;a0;1;6;1
170;29;visit;a1;6;5;1
171;29;visit;a2;2;1;1
172;29;visit;a3;1;6;1
173;29;visit;a4;6;1;1
174;29;visit;a5;6;5;1
175;30;visit;a0;6;5;1
176;30;visit;a1;5;6;1
177;30;visit;a2;1;1;1
178;30;visit;a3;6;5;1
179;30;visit;a4;1;1;1
180;30;visit;a5;5;4;1
181;31;visit;a0;5;4;1
182;31;visit;a1;6;1;1
183;31;visit;a2;1;1;1
184;31;visit;a3;5;4;1
185;31;visit;a4;1;1;1
186;31;visit;a5;4;3;1
187;32;visit;a0;4;4;1
188;32;visit;a1;1;6;1
189;32;visit;a2;1;2;1
190;32;visit;a3;4;3;1
191;32;visit;a4;1;1;1
192;32;visit;a5;3;3;1
193;33;visit;a0;4;4;1
194;33;visit;a1;6;6;1
195;33;visit;a2;2;3;1
196;33;visit;a3;3;4;1
197;33;visit;a4;1;1;1
198;33;visit;a5;3;4;1
199;34;visit;a0;4;5;1
200;34;visit;a1;6;5;1
201;34;visit;a2;3;4;1
202;34;visit;a3;4;3;1
203;34;visit;a4;1;6;1
204;34;visit;a5;4;3;1
205;35;visit;a0;5;4;1
206;35;visit;a1;5;4;1
207;35;visit;a2;4;5;1
208;35;visit;a3;3;4;1
209;35;visit;a4;6;1;1
210;35;visit;a5;3;4;1
211;36;visit;a0;4;3;1
212;36;visit;a1;4;3;1
213;36;visit;a2;5;6;1
214;36;visit;a3;4;4;1
215;36;visit;a4;1;6;1
216;36;visit;a5;4;4;1
217;37;visit;a0;3;3;1
218;37;visit;a1;3;4;1
219;37;visit;a2;6;6;1
220;37;visit;a3;4;4;1
221;37;visit;a4;6;6;1
222;37;visit;a5;4;5;1
223;38;visit;a0;3;3;1
224;38;visit;a1;4;3;1
225;38;visit;a2;6;6;1
226;38;visit;a3;4;4;1
227;38;visit;a4;6;1;1
228;38;visit;a5;5;6;1
229;39;visit;a0;3;3;1
230;39;visit;a1;3;4;1
231;39;visit;a2;6;5;1
232;39;visit;a3;4;4;1
233;39;visit;a4;1;1;1
234;39;visit;a5;6;5;1
235;40;visit;a0;3;4;1
236;40;visit;a1;4;4;1
237;40;visit;a2;5;5;1
238;40;visit;a3;4;5;1
239;40;visit;a4;1;1;1
240;40;visit;a5;5;6;1
241;41;visit;a0;4;4;1
242;41;visit;a1;4;3;1
243;41;visit;a2;5;6;1
244;41;visit;a3;5;6;1
245;41;visit;a4;1;6;1
246;41;visit;a5;6;5;1
247;42;visit;a0;4;5;1
248;42;visit;a1;3;4;1
249;42;visit;a2;6;6;1
250;42;visit;a3;6;5;1
251;42;visit;a4;6;5;1
252;42;visit;a5;5;6;1
253;43;visit;a0;5;6;1
254;43;visit;a1;4;4;1
255;43;visit;a2;6;6;1
256;43;visit;a3;5;6;1
257;43;visit;a4;5;6;1
258;43;visit;a5;6;5;1
259;44;visit;a0;6;1;1
260;44;visit;a1;4;5;1
261;44;visit;a2;6;1;1
262;44;visit;a3;6;5;1
263;44;visit;a4;6;1;1
264;44;visit;a5;5;6;1
265;45;visit;a0;1;6;1
266;45;visit;a1;5;4;1
267;45;visit;a2;1;2;1
268;45;visit;a3;5;5;1
269;45;visit;a4;1;1;1
270;45;visit;a5;6;1;1
271;46;visit;a0;6;6;1
272;46;visit;a1;4;5;1
273;46;visit;a2;2;2;1
274;46;visit;a3;5;5;1
275;46;visit;a4;1;6;1
276;46;visit;a5;1;6;1
277;47;visit;a0;6;1;1
278;47;visit;a1;5;5;1
279;47;visit;a2;2;2;1
280;47;visit;a3;5;5;1
281;47;visit;a4;6;1;1
282;47;visit;a5;6;6;1
283;48;visit;a0;1;2;1
284;48;visit;a1;5;6;1
285;48;visit;a2;2;2;1
286;48;visit;a3;5;5;1
