day;m1
1;0.166667
2;0.266667
3;0.4
4;0.566667
5;0.766667
6;0.8
7;0.9
8;1
9;1
10;1
11;1
12;1
13;1
14;1
15;1
16;1
17;1
18;0.966667
19;1
20;1
21;1
22;1
23;0.966667
24;0.966667
25;0.966667
26;0.966667
27;1
28;0.966667
29;1
30;0.966667
31;0.966667
32;1
33;1
34;1
35;1
36;1
37;1
38;1
39;1
40;1
41;1
42;1
43;1
44;1
45;0.966667
46;1
47;1
48;1
49;0.966667
50;1
51;1
52;1
53;0.966667
54;1
55;0.966667
56;1
57;1
58;1
59;1
60;1
61;1
62;1
63;1
64;1
65;1
66;1
67;0.966667
68;1
69;0.966667
70;1
71;0.966667
72;1
73;1
74;1
75;1
76;1
77;0.966667
78;1
79;1
80;1
81;1
82;1
83;1
84;1
85;1
86;0.966667
87;1
88;1
89;0.966667
90;1
91;1
92;1
93;1
94;0.966667
95;1
96;1
97;1
98;0.966667
99;0.966667
100;1
101;1
102;0.966667
103;0.966667
104;0.966667
105;1
106;0.966667
107;1
108;1
109;1
110;1
111;1
112;1
113;1
114;1
115;0.966667
116;0.966667
117;1
118;1
119;1
120;1
121;1
122;1
123;1
124;1
125;1
126;0.966667
127;1
128;1
129;0.966667
130;0.966667
131;1
132;1
133;1
134;1
135;0.966667
136;1
137;1
138;1
139;0.966667
140;1
141;1
142;1
143;0.966667
144;1
145;0.966667
146;1
147;0.966667
148;0.966667
149;1
150;1
151;1
152;1
153;1
154;1
155;1
156;1
157;0.966667
158;1
159;1
160;0.966667
161;1
162;1
163;1
164;1
165;1
166;0.966667
167;1
168;1
169;1
170;1
171;1
172;1
173;1
174;0.966667
175;1
176;1
177;1
178;1
179;1
180;1
181;1
182;1
183;1
184;1
185;1
186;1
187;0.966667
188;0.966667
189;0.966667
190;1
191;1
192;1
193;1
194;1
195;1
196;1
197;1
198;1
199;0.966667
200;1
