day;m1
1;0.166667
2;0.166667
3;0.366667
4;0.466667
5;0.633333
6;0.833333
7;0.966667
8;1
9;0.966667
10;0.966667
11;1
12;1
13;0.966667
14;1
15;0.966667
16;1
17;0.966667
18;1
19;1
20;1
21;1
22;1
23;1
24;1
25;1
26;1
27;0.966667
28;1
29;1
30;1
31;1
32;0.966667
33;1
34;1
35;1
36;0.966667
37;0.966667
38;1
39;1
40;1
41;1
42;1
43;1
44;1
45;1
46;1
47;1
48;1
49;1
50;0.966667
51;1
52;1
53;1
54;1
55;0.966667
56;1
57;1
58;1
59;1
60;1
61;1
62;0.966667
63;1
64;1
65;1
66;1
67;1
68;1
69;1
70;1
71;1
72;1
73;1
74;1
75;1
76;1
77;1
78;1
79;0.966667
80;1
81;1
82;0.966667
83;1
84;0.966667
85;0.966667
86;1
87;1
88;1
89;1
90;1
91;0.966667
92;1
93;1
94;1
95;0.966667
96;1
97;1
98;1
99;0.966667
100;1
101;1
102;1
103;1
104;0.966667
105;0.966667
106;1
107;1
108;1
109;1
110;1
111;1
112;1
113;1
114;1
115;1
116;1
117;1
118;0.966667
119;1
120;1
121;1
122;0.966667
123;0.966667
124;1
125;1
126;1
127;1
128;1
129;1
130;1
131;0.966667
132;1
133;1
134;1
135;1
136;1
137;1
138;1
139;1
140;1
141;1
142;1
143;0.966667
144;1
145;1
146;0.966667
147;0.966667
148;1
149;1
150;1
151;1
152;0.966667
153;1
154;1
155;1
156;1
157;0.966667
158;0.966667
159;1
160;1
161;1
162;1
163;1
164;1
165;1
166;1
167;1
168;1
169;1
170;1
171;0.966667
172;1
173;1
174;1
175;1
176;1
177;1
178;0.966667
179;1
180;1
181;0.966667
182;1
183;0.966667
184;1
185;1
186;1
187;1
188;0.966667
189;0.966667
190;1
191;1
192;1
193;1
194;1
195;1
196;1
197;0.966667
198;1
199;1
200;0.966667
