day;m1
1;0.1
2;0.333333
3;0.5
4;0.533333
5;0.666667
6;0.8
7;0.966667
8;1
9;1
10;1
11;1
12;1
13;0.966667
14;1
15;1
16;1
17;1
18;1
19;1
20;1
21;1
22;1
23;1
24;0.966667
25;1
26;1
27;1
28;1
29;1
30;0.966667
31;0.966667
32;1
33;1
34;0.966667
35;0.966667
36;0.966667
37;1
38;1
39;1
40;1
41;1
42;0.966667
43;1
44;1
45;0.966667
46;0.966667
47;1
48;0.966667
49;1
50;1
51;1
52;1
53;1
54;1
55;0.966667
56;1
57;0.966667
58;0.966667
59;1
60;1
61;0.966667
62;1
63;1
64;0.966667
65;1
66;1
67;1
68;0.966667
69;1
70;0.966667
71;1
72;1
73;1
74;1
75;1
76;1
77;0.966667
78;1
79;1
80;1
81;1
82;0.966667
83;0.966667
84;1
85;0.966667
86;0.966667
87;1
88;1
89;0.966667
90;0.966667
91;1
92;0.966667
93;1
94;1
95;1
96;1
97;1
98;1
99;1
100;1
101;1
102;1
103;0.966667
104;1
105;0.966667
106;0.966667
107;0.966667
108;0.966667
109;0.966667
110;0.966667
111;0.966667
112;1
113;1
114;0.966667
115;0.966667
116;1
117;1
118;0.966667
119;1
120;1
121;1
122;1
123;1
124;0.966667
125;0.966667
126;1
127;0.966667
128;0.966667
129;1
130;0.966667
131;0.966667
132;1
133;1
134;1
135;0.966667
136;1
137;1
138;1
139;1
140;1
141;1
142;1
143;1
144;1
145;1
146;1
147;1
148;1
149;1
150;1
151;1
152;0.966667
153;1
154;0.966667
155;0.966667
156;0.966667
157;1
158;1
159;0.966667
160;1
161;1
162;0.966667
163;1
164;1
165;1
166;1
167;1
168;1
169;1
170;0.966667
171;1
172;0.966667
173;0.966667
174;1
175;0.966667
176;1
177;1
178;0.966667
179;1
180;0.966667
181;0.966667
182;1
183;1
184;0.966667
185;1
186;1
187;0.966667
188;0.966667
189;1
190;0.966667
191;1
192;0.966667
193;1
194;0.966667
195;1
196;1
197;1
198;1
199;1
200;0.966667
