kind,score,sids,metrics,p_left,p_right,p_home,p_house_exch,p_pet_exch
baseline,0.9800002000000001,1d76a73e954f|b08f6b80b333|dfba98117735|78ca028b0d15|d2e1dad4d62f,/home/nuriddin/Code/zebra/data/logs/metrics_1d76a73e954f.csv|/home/nuriddin/Code/zebra/data/logs/metrics_b08f6b80b333.csv|/home/nuriddin/Code/zebra/data/logs/metrics_dfba98117735.csv|/home/nuriddin/Code/zebra/data/logs/metrics_78ca028b0d15.csv|/home/nuriddin/Code/zebra/data/logs/metrics_d2e1dad4d62f.csv,,,,,
trial0,0.9800002000000001,4c59132d4be3|ce8acd2f37b2|1125c243961c|334a8adbe605|3591f4783306,/home/nuriddin/Code/zebra/data/logs/metrics_4c59132d4be3.csv|/home/nuriddin/Code/zebra/data/logs/metrics_ce8acd2f37b2.csv|/home/nuriddin/Code/zebra/data/logs/metrics_1125c243961c.csv|/home/nuriddin/Code/zebra/data/logs/metrics_334a8adbe605.csv|/home/nuriddin/Code/zebra/data/logs/metrics_3591f4783306.csv,68,3,29,28,17
trial,0.9866668000000001,95957d9ef777|52931bffda81|5b0d2c5ff262|dff53557b58c|774d1d2927d7,/home/nuriddin/Code/zebra/data/logs/metrics_95957d9ef777.csv|/home/nuriddin/Code/zebra/data/logs/metrics_52931bffda81.csv|/home/nuriddin/Code/zebra/data/logs/metrics_5b0d2c5ff262.csv|/home/nuriddin/Code/zebra/data/logs/metrics_dff53557b58c.csv|/home/nuriddin/Code/zebra/data/logs/metrics_774d1d2927d7.csv,32,29,39,11,75
trial,1.0,fa26c44a3a4c|6b30c491de69|adf66cdba3c6|4e7243121cbd|3de4853d4bd6,/home/nuriddin/Code/zebra/data/logs/metrics_fa26c44a3a4c.csv|/home/nuriddin/Code/zebra/data/logs/metrics_6b30c491de69.csv|/home/nuriddin/Code/zebra/data/logs/metrics_adf66cdba3c6.csv|/home/nuriddin/Code/zebra/data/logs/metrics_4e7243121cbd.csv|/home/nuriddin/Code/zebra/data/logs/metrics_3de4853d4bd6.csv,63,4,33,64,77
trial,0.9866668000000001,d52bfbd932c3|65e98a2a6544|920b0ca7d3d8|1e937778e46d|03c2f1ee1daf,/home/nuriddin/Code/zebra/data/logs/metrics_d52bfbd932c3.csv|/home/nuriddin/Code/zebra/data/logs/metrics_65e98a2a6544.csv|/home/nuriddin/Code/zebra/data/logs/metrics_920b0ca7d3d8.csv|/home/nuriddin/Code/zebra/data/logs/metrics_1e937778e46d.csv|/home/nuriddin/Code/zebra/data/logs/metrics_03c2f1ee1daf.csv,3,23,74,69,53
trial,0.9933334,d2d479fc22c8|3959de94f6dc|daebc8f0235a|1ba76aaad1f2|14d80ab47b5e,/home/nuriddin/Code/zebra/data/logs/metrics_d2d479fc22c8.csv|/home/nuriddin/Code/zebra/data/logs/metrics_3959de94f6dc.csv|/home/nuriddin/Code/zebra/data/logs/metrics_daebc8f0235a.csv|/home/nuriddin/Code/zebra/data/logs/metrics_1ba76aaad1f2.csv|/home/nuriddin/Code/zebra/data/logs/metrics_14d80ab47b5e.csv,14,36,50,0,97
trial,0.9933334,9833d460e8ef|1dfc3e37db7c|2df8d60ce62a|27d795cf73d1|6dabbca5cf5b,/home/nuriddin/Code/zebra/data/logs/metrics_9833d460e8ef.csv|/home/nuriddin/Code/zebra/data/logs/metrics_1dfc3e37db7c.csv|/home/nuriddin/Code/zebra/data/logs/metrics_2df8d60ce62a.csv|/home/nuriddin/Code/zebra/data/logs/metrics_27d795cf73d1.csv|/home/nuriddin/Code/zebra/data/logs/metrics_6dabbca5cf5b.csv,44,38,18,19,27
trial,0.9933334,8a0e035c36bd|89bbd34f3374|f3f3978f284e|9ecc498dfde3|c3a62c37b6d0,/home/nuriddin/Code/zebra/data/logs/metrics_8a0e035c36bd.csv|/home/nuriddin/Code/zebra/data/logs/metrics_89bbd34f3374.csv|/home/nuriddin/Code/zebra/data/logs/metrics_f3f3978f284e.csv|/home/nuriddin/Code/zebra/data/logs/metrics_9ecc498dfde3.csv|/home/nuriddin/Code/zebra/data/logs/metrics_c3a62c37b6d0.csv,69,24,7,12,45
trial,1.0,2cda9972ee49|d92f3a381419|163d116ad72a|64dadc9fb132|b1e476088e7c,/home/nuriddin/Code/zebra/data/logs/metrics_2cda9972ee49.csv|/home/nuriddin/Code/zebra/data/logs/metrics_d92f3a381419.csv|/home/nuriddin/Code/zebra/data/logs/metrics_163d116ad72a.csv|/home/nuriddin/Code/zebra/data/logs/metrics_64dadc9fb132.csv|/home/nuriddin/Code/zebra/data/logs/metrics_b1e476088e7c.csv,38,27,35,93,58
trial,1.0,cfb4cd52fb8f|235168d08323|736a7dd2beff|05014c5e2e00|ade55e2cf11b,/home/nuriddin/Code/zebra/data/logs/metrics_cfb4cd52fb8f.csv|/home/nuriddin/Code/zebra/data/logs/metrics_235168d08323.csv|/home/nuriddin/Code/zebra/data/logs/metrics_736a7dd2beff.csv|/home/nuriddin/Code/zebra/data/logs/metrics_05014c5e2e00.csv|/home/nuriddin/Code/zebra/data/logs/metrics_ade55e2cf11b.csv,28,52,20,70,37
trial,0.9933334,5534487e3cb8|0323f77fac17|e88996813aa5|6d157755bbc4|09f0e4badbfd,/home/nuriddin/Code/zebra/data/logs/metrics_5534487e3cb8.csv|/home/nuriddin/Code/zebra/data/logs/metrics_0323f77fac17.csv|/home/nuriddin/Code/zebra/data/logs/metrics_e88996813aa5.csv|/home/nuriddin/Code/zebra/data/logs/metrics_6d157755bbc4.csv|/home/nuriddin/Code/zebra/data/logs/metrics_09f0e4badbfd.csv,36,27,37,73,24
trial,0.9866668000000001,a95d65c9e457|ee42caf6f73d|ed175592a4c6|5019fce33957|952fc606b01e,/home/nuriddin/Code/zebra/data/logs/metrics_a95d65c9e457.csv|/home/nuriddin/Code/zebra/data/logs/metrics_ee42caf6f73d.csv|/home/nuriddin/Code/zebra/data/logs/metrics_ed175592a4c6.csv|/home/nuriddin/Code/zebra/data/logs/metrics_5019fce33957.csv|/home/nuriddin/Code/zebra/data/logs/metrics_952fc606b01e.csv,72,5,23,37,10
trial,1.0,9cfe8d54d101|6e9181cdbf4c|3f8359f06ec4|06107c5508bc|62665552b250,/home/nuriddin/Code/zebra/data/logs/metrics_9cfe8d54d101.csv|/home/nuriddin/Code/zebra/data/logs/metrics_6e9181cdbf4c.csv|/home/nuriddin/Code/zebra/data/logs/metrics_3f8359f06ec4.csv|/home/nuriddin/Code/zebra/data/logs/metrics_06107c5508bc.csv|/home/nuriddin/Code/zebra/data/logs/metrics_62665552b250.csv,41,41,18,58,81
trial,0.9800002000000001,4a4886ad5a38|05f944fd66f6|a0e565fbf81b|194d8f00c3d3|876cf0cc706c,/home/nuriddin/Code/zebra/data/logs/metrics_4a4886ad5a38.csv|/home/nuriddin/Code/zebra/data/logs/metrics_05f944fd66f6.csv|/home/nuriddin/Code/zebra/data/logs/metrics_a0e565fbf81b.csv|/home/nuriddin/Code/zebra/data/logs/metrics_194d8f00c3d3.csv|/home/nuriddin/Code/zebra/data/logs/metrics_876cf0cc706c.csv,62,12,26,85,34
trial,0.9933334,a5a0d92aa9b4|081425e4f66d|e2100ecd67d3|67b2837e88fd|2705b2e930a9,/home/nuriddin/Code/zebra/data/logs/metrics_a5a0d92aa9b4.csv|/home/nuriddin/Code/zebra/data/logs/metrics_081425e4f66d.csv|/home/nuriddin/Code/zebra/data/logs/metrics_e2100ecd67d3.csv|/home/nuriddin/Code/zebra/data/logs/metrics_67b2837e88fd.csv|/home/nuriddin/Code/zebra/data/logs/metrics_2705b2e930a9.csv,48,47,5,81,21
trial,0.9866668000000001,c37d6847bd59|304b892cabb9|2286f79101ed|91f997836dd1|b4912d069482,/home/nuriddin/Code/zebra/data/logs/metrics_c37d6847bd59.csv|/home/nuriddin/Code/zebra/data/logs/metrics_304b892cabb9.csv|/home/nuriddin/Code/zebra/data/logs/metrics_2286f79101ed.csv|/home/nuriddin/Code/zebra/data/logs/metrics_91f997836dd1.csv|/home/nuriddin/Code/zebra/data/logs/metrics_b4912d069482.csv,43,20,37,34,81
trial,0.9933334,1fe2e52cc0bb|89a6b29e0666|c531cae7cd4d|8ac80bb48010|91750f77385c,/home/nuriddin/Code/zebra/data/logs/metrics_1fe2e52cc0bb.csv|/home/nuriddin/Code/zebra/data/logs/metrics_89a6b29e0666.csv|/home/nuriddin/Code/zebra/data/logs/metrics_c531cae7cd4d.csv|/home/nuriddin/Code/zebra/data/logs/metrics_8ac80bb48010.csv|/home/nuriddin/Code/zebra/data/logs/metrics_91750f77385c.csv,56,18,26,98,99
trial,0.9800002000000001,ae6f433661fe|77b7f91166f4|ecbfe442d77e|ccb94aaafa25|661982d0466d,/home/nuriddin/Code/zebra/data/logs/metrics_ae6f433661fe.csv|/home/nuriddin/Code/zebra/data/logs/metrics_77b7f91166f4.csv|/home/nuriddin/Code/zebra/data/logs/metrics_ecbfe442d77e.csv|/home/nuriddin/Code/zebra/data/logs/metrics_ccb94aaafa25.csv|/home/nuriddin/Code/zebra/data/logs/metrics_661982d0466d.csv,3,49,48,51,34
trial,0.9866668000000001,638208a2e1b8|70e6838af5a3|a5f23f7a7d5b|523219a4ecb2|b7aa5f198a44,/home/nuriddin/Code/zebra/data/logs/metrics_638208a2e1b8.csv|/home/nuriddin/Code/zebra/data/logs/metrics_70e6838af5a3.csv|/home/nuriddin/Code/zebra/data/logs/metrics_a5f23f7a7d5b.csv|/home/nuriddin/Code/zebra/data/logs/metrics_523219a4ecb2.csv|/home/nuriddin/Code/zebra/data/logs/metrics_b7aa5f198a44.csv,4,59,37,91,40
trial,0.9933334,81df80778d2b|85c4795363c0|3b3c1f199041|d760b4e6e4a2|d54c5aca79d3,/home/nuriddin/Code/zebra/data/logs/metrics_81df80778d2b.csv|/home/nuriddin/Code/zebra/data/logs/metrics_85c4795363c0.csv|/home/nuriddin/Code/zebra/data/logs/metrics_3b3c1f199041.csv|/home/nuriddin/Code/zebra/data/logs/metrics_d760b4e6e4a2.csv|/home/nuriddin/Code/zebra/data/logs/metrics_d54c5aca79d3.csv,13,31,56,82,58
