day;m1
1;0.166667
2;0.166667
3;0.166667
4;0.166667
5;0.166667
6;0.166667
7;0.166667
8;0.166667
9;0.333333
10;0.291667
11;0.291667
12;0.291667
13;0.75
14;0.75
15;0.75
16;0.75
17;0.75
18;0.666667
19;0.666667
20;0.708333
21;0.708333
22;0.708333
23;0.708333
24;0.708333
25;0.666667
26;0.666667
27;0.666667
28;0.708333
29;0.708333
30;0.708333
31;0.708333
32;0.708333
33;0.708333
34;0.708333
35;0.666667
36;0.666667
37;0.666667
38;0.666667
39;0.666667
40;0.666667
41;0.666667
42;0.666667
43;0.666667
44;0.666667
45;0.666667
46;0.666667
47;0.666667
48;0.666667
49;0.666667
50;0.666667
51;0.666667
52;0.666667
53;0.666667
54;0.666667
55;0.666667
56;0.666667
57;0.666667
58;0.708333
59;0.708333
60;0.833333
61;0.833333
62;0.833333
63;0.833333
64;0.833333
65;0.833333
66;0.833333
67;0.833333
68;0.833333
69;0.833333
70;0.833333
71;0.833333
72;0.75
73;0.75
74;0.708333
75;0.708333
76;0.708333
77;0.708333
78;0.75
79;0.75
80;0.75
81;0.75
82;0.75
83;0.75
84;0.75
85;0.75
86;0.75
87;0.75
88;0.75
89;0.75
90;0.75
91;0.75
92;0.75
93;0.75
94;0.75
95;0.75
96;0.75
97;0.75
98;0.75
99;0.75
100;0.75
101;0.75
102;0.75
103;0.75
104;0.75
105;0.75
106;0.75
107;0.75
108;0.75
109;0.75
110;0.75
111;0.75
112;0.75
113;0.75
114;0.75
115;0.75
116;0.75
117;0.75
118;0.75
119;0.75
120;0.75
121;0.75
122;0.75
123;0.75
124;0.75
125;0.75
126;0.75
127;0.75
128;0.75
129;0.75
130;0.75
131;0.75
132;0.75
133;0.75
134;0.75
135;0.75
136;0.75
137;0.75
138;0.75
139;0.75
140;0.75
141;0.75
142;0.75
143;0.75
144;0.75
145;0.75
146;0.75
147;0.75
148;0.75
149;0.75
150;0.75
151;0.75
152;0.75
153;0.75
154;0.75
155;0.75
156;0.75
157;0.75
158;0.75
159;0.75
160;0.75
161;0.75
162;0.75
163;0.75
164;0.75
165;0.75
166;0.75
167;0.75
168;0.75
169;0.75
170;0.75
171;0.75
172;0.75
173;0.75
174;0.75
175;0.75
176;0.75
177;0.75
178;0.75
179;0.75
180;0.75
181;0.75
182;0.75
183;0.75
184;0.75
185;0.75
186;0.75
187;0.75
188;0.75
189;0.75
190;0.75
191;0.75
192;0.75
193;0.75
194;0.75
195;0.75
196;0.75
197;0.75
198;0.75
199;0.75
200;0.75
